email,spam_or_not_spam
"Hello, how are you?",not spam
Get rich quick!,spam
Weekly newsletter,not spam
You have won a prize!,spam
Meeting at 3pm,not spam
Free iPhone!,spam
Your invoice is attached,not spam
Increase your income,spam
Welcome to the team,not spam
Congratulations on your win!,spam
Invest in Bitcoin,spam
Lunch on Friday?,not spam
Your subscription is ending soon,not spam
Hot singles in your area,spam
Important update about your account,not spam
You won't believe what happened,spam
Your password has been reset,not spam
Earn money from home,spam
Your friend invited you to a game,not spam
"We miss you, come back",spam
